233003|Python|8|11|72.72727272727273|C
233003|Python|8|11|72.72727272727273|C
233003|C|6|6|100.0|A
233003|C|6|6|100.0|A
233003|C|6|6|100.0|A
233003|Python|10|11|90.9090909090909|A
233003|C++|5|5|100.0|A
233003|C++|5|5|100.0|A
233003|C++|5|5|100.0|A
233003|Math|6|6|100.0|A
233003|Math|6|6|100.0|A
233003|Math|6|6|100.0|A
233100|Python|9|11|81.81818181818183|B
233100|Python|9|11|81.81818181818183|B
233100|C|6|6|100.0|Completed
233100|Python|9|11|81.81818181818183|Completed
233100|Python|9|11|81.81818181818183|Completed
233100|C|8|10|80.0|Completed
